name|link|info|price
Kroks 2043 KAA15-700/2700|https://shop.mts.by//accessories/antennas/kroks-2043-kaa15-700-2700/||от31.33руб./мес.от299.75руб.
Кабельная сборка 5D-FB 10М|https://shop.mts.by//accessories/antennas/cable-assembly-5d-fb-10m/|Кабель 5D-FB является самым оптимальным решением для подключения устройств передачи данных к высокочастотным антеннам: имеет небольшие потери в 3G (2000-2200 МГц) - 0,3 дБ / метр, и в LTE 4G (2500-2700 МГц) - 0,35 дБ / метр.Для подключения антенны необходимы 2 кабельные сборки. Стоимость указана за 1 ед.|от8.05руб./мес.от77.00руб.
Xiaomi Mi Wi-Fi Range Extender Pro|https://shop.mts.by//accessories/antennas/xiaomi-mi-wi-fi-range-extender-pro/|Wi-Fi|от4.75руб./мес.от45.50руб.
