name|link|info|price
Лампа настольная Xiaomi Mi LED Desk Lamp 1S (белый)|https://shop.mts.by//smart-house/sensors/xiaomi-mi-led-desk-lamp-1s-white/||от3.5руб./мес.от72руб.
Xiaomi Mi Smart Home Hub|https://shop.mts.by//smart-house/sensors/xiaomi-mi-smart-home-hub/||от5руб./мес.от79руб.
Xiaomi Mi Smart Plug (Wi-Fi)|https://shop.mts.by//smart-house/sensors/xiaomi-mi-smart-plug-wi-fi/||от5.75руб./мес.от55.00руб.
Xiaomi Mi Smart LED Bulb Essential|https://shop.mts.by//smart-house/sensors/xiaomi-mi-smart-led-bulb-essential/||от4.18руб./мес.от40.00руб.
Xiaomi Mi Wireless Switch|https://shop.mts.by//smart-house/sensors/xiaomi-mi-wireless-switch/||от4.07руб./мес.от39.00руб.
Xiaomi Mi Window and Door Sensor|https://shop.mts.by//smart-house/sensors/xiaomi-mi-window-and-door-sensor/||от3.45руб./мес.от33.00руб.
Xiaomi Mi Light Detection Sensor|https://shop.mts.by//smart-house/sensors/xiaomi-mi-light-detection-sensor/||от33руб.
Xiaomi Mi Motion Sensor|https://shop.mts.by//smart-house/sensors/xiaomi-mi-motion-sensor/||от5.12руб./мес.от49.00руб.
Xiaomi Mi Bedside Lamp 2|https://shop.mts.by//smart-house/sensors/xiaomi-mi-bedside-lamp-2/||от5.5руб./мес.от99руб.
