name|link|info|price
HONOR Watch GS3 золотой|https://shop.mts.by//gadgets/smart-watch/honor-watch-gs3-gold/||от28руб./мес.от579руб.
HONOR Watch GS3 черный|https://shop.mts.by//gadgets/smart-watch/honor-watch-gs3-black/||от26руб./мес.от529руб.
HONOR Watch GS3 голубой|https://shop.mts.by//gadgets/smart-watch/honor-watch-gs3-blue/||от28руб./мес.от579руб.
Honor Watch Magic 2 42мм steel strap (розовая сакура)|https://shop.mts.by//gadgets/smart-watch/smart-watch-honor-watch-magic-2-42-mm-pink-sakura/|7 дней работы от батареи.Персонализированные циферблаты.15 режимов тренировок с функцией постановки целей.|от21.7руб./мес.от479руб.
