name|link|info|price
Lenovo Tab P11 Pro LTE with Keyboard and Pen 6/128GB (серый)|https://shop.mts.by//tabletpc/tablet/lenovo-tab-p11-pro-with-keyboard-and-pen-tb-j706l-6-128gb-gray/|ОС: Android 10Камера: 13 МпПоддержка 4G|от135руб./мес.от2299руб.
Lenovo Tab P11 LTE TB-J606L 6/128GB (темно-серый)|https://shop.mts.by//tabletpc/tablet/lenovo-tab-p11-lte-6-128gb-gray/|ОС: Android 10Камера: 13 МпПоддержка 4G|от49руб./мес.от1099руб.
Lenovo M10 FHD Plus LTE TB-X606X 4/128GB (темно-серый)|https://shop.mts.by//tabletpc/tablet/lenovo-m10-fhd-plus-lte-4-128gb-gray/|ОС: Android 9.0 PieКамера: 8 МпПоддержка 4G|от42руб./мес.от809руб.
Lenovo Tab M10 FHD Plus (2nd Gen) TB-X606F 4/128GB (серый)|https://shop.mts.by//tabletpc/tablet/lenovo-tab-m10-fhd-plus-2nd-gen-tb-x606f-4-128gb-gray/|ОС: Android 9.0 PieКамера: 8 Мп|от34руб./мес.от709руб.
Lenovo Tab M8 LTE TB-8505X 2/32GB (темно-серый)|https://shop.mts.by//tabletpc/tablet/lenovo-tab-m8-lte-2-32gb-gray/|ОС: Android 9.0 PieКамера: 5 МпПоддержка 4G|от23руб./мес.от479руб.
