name|link|info|price
Apple Watch Series 3 42 мм (серый космос)|https://shop.mts.by//gadgets/smart-watch/smart-watch-apple-watch-42-mm-series-3-space-grey/|Измерение показателей всех популярных видов тренировок.Ответьте на звонок, не доставая телефон из кармана.|от47руб./мес.от939руб.
Apple Watch Series 5 40 мм (серый космос)|https://shop.mts.by//gadgets/smart-watch/smart-watch-apple-watch-series-5-40-mm-space-grey/|Всегда активный дисплей Retina.Встроенный компас и обновленные функции геолокации.Быстрая и безопасная оплата с помощью Apple Pay.|от74руб./мес.от1329руб.
Apple Watch Series 7 45 мм (PRODUCT)RED|https://shop.mts.by//gadgets/smart-watch/apple-watch-series-7-45-mm-product-red/||от88руб./мес.от1659руб.
Apple Watch Series 7 41 мм (темная ночь)|https://shop.mts.by//gadgets/smart-watch/apple-watch-series-7-41-mm-midnight/||от80руб./мес.от1489руб.
Apple Watch Series 5 44 мм (розовое золото)|https://shop.mts.by//gadgets/smart-watch/smart-watch-apple-watch-44-mm-series-5-rose-gold/|Всегда активный дисплей Retina.Встроенный компас и обновленные функции геолокации.Быстрая и безопасная оплата с помощью Apple Pay.|от81руб./мес.от1399руб.
Apple Watch Series 6 Nike 40 мм (серый космос)|https://shop.mts.by//gadgets/smart-watch/apple-watch-series-6-nike-40-mm-space-gray/|Всегда включённый дисплей Retina теперь в 2,5 раза ярче на улице.Оплачивайте покупки быстро и безопасно с помощью Apple Pay прямо с запястья.|от60руб./мес.от1129руб.
Apple Watch Series 7 45 мм (зеленый)|https://shop.mts.by//gadgets/smart-watch/apple-watch-series-7-45-mm-green/||от88руб./мес.от1659руб.
Apple Watch Series 7 45 мм (синий)|https://shop.mts.by//gadgets/smart-watch/apple-watch-series-7-45-mm-blue/||от88руб./мес.от1659руб.
Apple Watch SE 44 мм (золото / сияющая звезда)|https://shop.mts.by//gadgets/smart-watch/apple-watch-se-44-mm-gold-star/|Большой дисплей OLED с технологией Retina.Процессор до 2 раз быстрее по сравнению с процессором Series 3.|от69руб./мес.от1199руб.
