name|link|info|price
JBL Go 2 (красный)|https://shop.mts.by//gadgets/bluetooth-speakers/besprovodnaya-kolonka-jbl-go-2-krasnyy/|До 5 часов автономной работы.Защиты от воды IPX7.|от4руб./мес.от59руб.
JBL Go 2 (серый)|https://shop.mts.by//gadgets/bluetooth-speakers/besprovodnaya-kolonka-jbl-go-2-seryy/|До 5 часов автономной работы.Защиты от воды IPX7.|от4руб./мес.от59руб.
JBL Go 2 (шампань)|https://shop.mts.by//gadgets/bluetooth-speakers/besprovodnaya-kolonka-jbl-go-2-shampan/|До 5 часов автономной работы.Защиты от воды IPX7.|от4руб./мес.от59руб.
