name|link|info|price
Samsung Galaxy Tab A7 Lite LTE 4/64Gb (серый)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-a7-lite-lte-4-64gb-gray/|ОС: Android 11Камера: 8 МпПоддержка 4G|от32руб./мес.от659руб.
Samsung Galaxy Tab A7 Lite LTE 3/32Gb (серебро)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-a7-lite-lte-3-32gb-silver/|ОС: Android 11Камера: 8 МпПоддержка 4G|от28руб./мес.от589руб.
Samsung Galaxy Tab S8+ 8/128GB LTE (графит)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-s8-plus-8-128gb-lte-graphite/|ОС: Android 12Камера: 13 Мп|от195руб./мес.от3799руб.
Samsung Galaxy Tab S8 8/256GB Wi-Fi (графит)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-s8-8-256gb-wi-fi-graphite/|ОС: Android 12Камера: 13 Мп|от137руб./мес.от2739руб.
Samsung Galaxy Tab A7 Lite Wi-Fi 3/32Gb (серый)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-a7-lite-wi-fi-3-32gb-gray/|ОС: Android 11Камера: 8 Мп|от24руб./мес.от499руб.
Samsung Galaxy Tab A7 Lite Wi-Fi 3/32Gb (серебро)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-a7-lite-wi-fi-3-32gb-silver/|ОС: Android 11Камера: 8 Мп|от24руб./мес.от499руб.
Samsung Galaxy Tab A8 3/32Gb Wi-Fi (серый)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-a8-3-32gb-wi-fi-gray/|ОС: Android 11 (One UI 3)Камера: 8 Мп|от34руб./мес.от719руб.
Samsung Galaxy Tab A7 Lite LTE 3/32Gb (серый)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-a7-lte-lte-3-32-gray/|ОС: Android 11Камера: 8 МпПоддержка 4G|от28руб./мес.от589руб.
Samsung Galaxy Tab A8 4/64Gb LTE (серый)|https://shop.mts.by//tabletpc/tablet/samsung-galaxy-tab-a8-4-64gb-lte-gray/|ОС: Android 11 (One UI 3)Камера: 8 МпПоддержка 4G|от42руб./мес.от879руб.
