name|link|info|price
Xiaomi Mi Power Bank 3 10000 mAh (черный)|https://shop.mts.by//accessories/power-supply/external-battery-pack-xiaomi-mi-3-power-bank-10000-mah-black/||от49руб.
Xiaomi Redmi Power Bank 10000 mAh (черный)|https://shop.mts.by//accessories/power-supply/external-battery-pack-xiaomi-redmi-power-bank-10000-mah-black/|Два входных порта.Два выходных порта.|от4.07руб./мес.от39.00руб.
Samsung Type-C (черный)|https://shop.mts.by//accessories/power-supply/cable-original-samsung-type-c-black/||от2.68руб./мес.от25.70руб.
Xiaomi Mi Wireless Power Bank Essential 10000 mAh (черный)|https://shop.mts.by//accessories/power-supply/external-battery-xiaomi-mi-essential-wireless-power-bank-10000-mah-black/|Максимальная мощность 10 W.Выходной порт USB-A поддерживает 18 W.Поддержка быстрой зарядки.Одновременная зарядка двух устройств.|от9.37руб./мес.от89.70руб.
Адаптер оригинальный Apple 8pin-3.5mm|https://shop.mts.by//accessories/power-supply/adapter-apple-lightning-to-3-5-mm/||от4.07руб./мес.от39.00руб.
Xiaomi Mi Power Bank 3 Ultra compact (PB1022ZM) 10000 mAh (черный)|https://shop.mts.by//accessories/power-supply/xiaomi-mi-power-bank-3-ultra-compact-10000-mah-black/||от59руб.
Samsung 10000 mАh Power Delivery EB-P3300 (темно-серый)|https://shop.mts.by//accessories/power-supply/samsung-power-delivery-eb-p3300-grey/|Порты Type-C и USB.Индикация уровня зарядки.Функция быстрой зарядки.|от12.36руб./мес.от118.30руб.
Apple USB-C to USB-C Charge Cable 1м (белый)|https://shop.mts.by//accessories/power-supply/kabel-apple-usb-c-to-usb-c-charge-cable-1m-white/||от9.3руб./мес.от89.00руб.
Xiaomi Mi Car Charger Pro (серебро)|https://shop.mts.by//accessories/power-supply/abc-xiaomi-mi-pro-car-charger-silver/|ХАРАКТЕРИСТИКИ ПИТАНИЯВ режиме работы одного порта 5 В – 2,4 А или 9 В – 2 А или 12 В – 1,5 АВ режиме работы двух портов 5 В – 2,4 А (15 Вт макс)|от19.5руб.
