name|link|info|price
Xiaomi Buds 3 (черный)|https://shop.mts.by//gadgets/headphones/xiaomi-buds-3-black/||от10.7руб./мес.от229руб.
Xiaomi Buds 3 (белый)|https://shop.mts.by//gadgets/headphones/xiaomi-buds-3-white/||от10.7руб./мес.от229руб.
Xiaomi Buds 3T Pro (белый)|https://shop.mts.by//gadgets/headphones/xiaomi-buds-3t-pro-white/||от19руб./мес.от399.00руб.
Xiaomi Redmi Buds 3 Lite (черный)|https://shop.mts.by//gadgets/headphones/xiaomi-redmi-buds-3-lite-black/||от3.5руб./мес.от79.00руб.
Xiaomi Redmi Buds 3 (белый)|https://shop.mts.by//gadgets/headphones/xiaomi-redmi-buds-3-white/||от5.5руб./мес.от119.00руб.
Xiaomi Redmi Buds 3 Pro (черный графит)|https://shop.mts.by//gadgets/headphones/xiaomi-redmi-buds-3-pro-black/||от9.6руб./мес.от199.00руб.
Xiaomi Redmi Buds 3 Pro (серый ледник)|https://shop.mts.by//gadgets/headphones/naushniki-besprovodnye-xiaomi-redmi-buds-3-pro-seryy-lednik/||от9.6руб./мес.от199.00руб.
Xiaomi Redmi Buds 3 Lite (белый)|https://shop.mts.by//gadgets/headphones/xiaomi-redmi-buds-3-lite-white/||от3.5руб./мес.от79.00руб.
