name|link|info|price
Apple AirPods Pro|https://shop.mts.by//gadgets/headphones/apple-airpods-headphones-pro/|"С активным шумоподавлением и ""открытым режимом"" для прослушивания окружающего звука.Защита от пота и воды (IPX4).Футляр можно заряжать по беспроводной технологии Qi или через разъём Lightning."|от45руб./мес.от899руб.
Apple AirPods 2 with Charging Case|https://shop.mts.by//gadgets/headphones/earphone-original-apple-airpods-2g-normal-case/|Увеличенное время работы в режиме телефонного разговора.Активация Siri с помощью голоса.|от29руб./мес.от589руб.
Apple AirPods 3|https://shop.mts.by//gadgets/headphones/apple-airpods-3/||от37.3руб./мес.от789руб.
Apple AirPods 2 with Wireless Charging Case|https://shop.mts.by//gadgets/headphones/apple-earphones-with-2-airpods-wireless-charging-case/|Увеличенное время работы в режиме телефонного разговора.Активация Siri с помощью голоса.Новый зарядный футляр с возможностью беспроводной зарядки.|от29руб./мес.от589руб.
