name|link|info|price
Honor Earbuds 2 Lite (ледяной белый)|https://shop.mts.by//gadgets/headphones/honor-earbuds-2-lite-white/||от10руб./мес.от179руб.
Honor Magic Earbuds (бирюзовый)|https://shop.mts.by//gadgets/headphones/honor-magic-earbuds-headphones-turquoise/|Активное шумоподавление.Качественный детализированный звук и глубокие басы.Интуитивное управление касаниями.|от13руб./мес.от249руб.
Honor Earbuds 2 Lite (черный)|https://shop.mts.by//gadgets/headphones/honor-earbuds-2-lite-black/||от10руб./мес.от179руб.
