name|link|info|price|s
Huawei E5576-320|https://shop.mts.by//equipment/router-huawei-mobile-wifi-3s/|Мобильный Wi-Fi модем оснащен технологией низкого энергопотребления, которая обеспечивает до 6 часов работы и 350 часов в режиме ожидания.Может работать как точка доступа Wi-Fi, просто вставьте SIM-карту. Поддерживает функцию Wi-Fi репитера и может переключаться на повторение существующей бесплатной точки доступа Wi-Fi в отеле или дома.|от139руб.
Alcatel IK41VE1 (белый)|https://shop.mts.by//equipment/alcatel-ik41ve1-white/||от109руб.
D-Link DIR-615/X1A|https://shop.mts.by//equipment/router-wireless-d-link-dir-615-x1a/|стандарт Wi-Fi: 802.11nмакс. скорость: 300 Мбит/скоммутатор 4xLAN|от49.9руб.
TP-Link TL-WR850N|https://shop.mts.by//equipment/router-tp-link-tl-wr850n/|Скорость беспроводной передачи данных до 300 Мбит/с – идеальный вариант для базовых и ресурсоёмких задачПоддержка функции родительского контроля|от45руб.
TCL HH42CV1 (белый)|https://shop.mts.by//equipment/tcl-hh42cv1-white/||от229руб.
TP-Link Archer C5 V4|https://shop.mts.by//equipment/router-wireless-tp-link-archer-c5/|"Сверхскоростной двухдиапазонный Wi-Fi до 1,2 Гбит/с: 300 Мбит/с на 2,4 ГГц и 867 Мбит/с на 5 ГГц4 внешние антенны для максимального всенаправленного покрытия беспроводной сетиПорт USB 2.0 позволяет делиться файлами и медиа с любыми сетевыми устройствамиПоддержка 1 гигабитного порта WAN и 4 гигабитных портов LAN для сверхбыстрой передачи данныхПоддержка IGMP Proxy, режима ""мост"" и 802.1Q TAG VLAN для услуги IPTV"|от109руб.
Xiaomi Mi Router 4A Giga Version|https://shop.mts.by//equipment/wi-fi-router-xiaomi-mi-router-4a-giga-version/||от109.00руб.
Фемтосота NEC FP8131Т (базовая станция)|https://shop.mts.by//equipment/femto-nec-fp8131t/|Для организациии мобильной связи 3G в подвальных помещенияхпомещениях закрытого типа с плохим уровнем мобильного сигналаНеобходимо подключение к ADSL маршрутизаторуРасход трафика за 1 час разговора (голос) - ориентировочно 60МБ;Расход трафика за 1 час интернет-соединения (данные) - ориентировочно 6МБ|от449руб.
