name|link|info|price
Xiaomi Mi Robot Vacuum-Mop 2 Lite (белый)|https://shop.mts.by//smart-house/smart-technology/xiaomi-mi-robot-vacuum-mop-2-lite-white/||от28руб./мес.от549руб.
Xiaomi Mi Robot Vacuum-Mop 2 (белый)|https://shop.mts.by//smart-house/smart-technology/xiaomi-mi-robot-vacuum-mop-2-white/||от45руб./мес.от829руб.
Xiaomi Mi TV Stick EU (черный)|https://shop.mts.by//smart-house/smart-technology/pristavka-smart-tv-xiaomi-mi-tv-stick-eu-chernyy/||от9руб./мес.от159руб.
Xiaomi Mi Vacuum Cleaner G10|https://shop.mts.by//smart-house/smart-technology/xiaomi-mi-vacuum-cleaner-g10/||от43руб./мес.от899руб.
Xiaomi Mi Smart Antibacterial Humidifier (белый)|https://shop.mts.by//smart-house/smart-technology/xiaomi-mi-smart-antibacterial-humidifier-white/||от9руб./мес.от169руб.
Xiaomi Mi Robot Vacuum-Mop 2 Ultra (черный)|https://shop.mts.by//smart-house/smart-technology/xiaomi-mi-robot-vacuum-mop-2-ultra-black/||от69руб./мес.от1359руб.
Xiaomi Mi Robot Vacuum-Mop 2 Pro (черный)|https://shop.mts.by//smart-house/smart-technology/xiaomi-mi-robot-vacuum-mop-2-pro-black/||от60руб./мес.от1079руб.
Xiaomi Mi Smart Home Hub|https://shop.mts.by//smart-house/smart-technology/xiaomi-mi-smart-home-hub/||от5руб./мес.от79руб.
Xiaomi Mi Wireless Outdoor Security Camera 1080p|https://shop.mts.by//smart-house/smart-technology/xiaomi-mi-wireless-outdoor-security-camera-1080p/||от11руб./мес.от219руб.
