name|link|info|price
Huawei Watch 3 Pro Classic 48 мм (коричневый)|https://shop.mts.by//gadgets/smart-watch/huawei-watch-3-pro-46-2-brown/||от63руб./мес.от1359руб.
Huawei Watch FIT Elegant (черный)|https://shop.mts.by//gadgets/smart-watch/smart-chasy-huawei-watch-fit-black/|Обновлённый дизайн в стиле Elegant.Цветной AMOLED-экран 1,64 дюйма.|от15.3руб./мес.от329руб.
Huawei Watch GT 2 46 мм (коричневый)|https://shop.mts.by//gadgets/smart-watch/smart-watch-huawei-watch-gt-2-46-mm-brown/|2 недели без подзарядки.Расстояние до 150 метров от смартфона.Звонки по Bluetooth и прослушивание музыки.|от23руб./мес.от459руб.
Huawei Watch 3 Active 46,2 мм (черный)|https://shop.mts.by//gadgets/smart-watch/huawei-watch-3-active-46-2-black/||от49руб./мес.от979руб.
Huawei Watch GT 3 42 мм Elegant (белый)|https://shop.mts.by//gadgets/smart-watch/huawei-watch-gt-3-42-mm-elegant-white/||от34руб./мес.от699руб.
Huawei Watch FIT 2 Classic (лунный белый)|https://shop.mts.by//gadgets/smart-watch/huawei-watch-fit-2-classic-white/||от20руб./мес.от409руб.
Huawei Watch GT 3 Pro 46 мм (черный)|https://shop.mts.by//gadgets/smart-watch/huawei-watch-gt-3-pro-46-mm-black/||от43руб./мес.от939руб.
Huawei Watch GT 3 46 мм Classic (коричневый)|https://shop.mts.by//gadgets/smart-watch/huawei-watch-gt-3-46-mm-classic-brown/||от38руб./мес.от779руб.
Huawei Watch GT 3 Pro 46 мм (серый)|https://shop.mts.by//gadgets/smart-watch/huawei-watch-gt-3-pro-46-mm-gray/||от47руб./мес.от989руб.
